image,st,bunya,ans,imans1,imans2,imans3,effect_type,power,question
比例・反比例.png,1,比例・反比例,25,20,30,35,attack,3,1分で50mのペースで歩くとき、5分間ではなんm進みますか？
比例・反比例.png,1,比例・反比例,50,30,40,60,defence,3,１分で５０mのペースで歩くとき、10分間ではなんm進みますか？
比例・反比例.png,1,比例・反比例,150,300,200,100,attack,3,１分で５０mのペースで歩くとき、3分間ではなんm進みますか？
比例・反比例.png,1,比例・反比例,2,3,4,5,defence,3,１２kmを１時間で６kmのペースで走るとき、走り切るのに何時間かかりますか？
比例・反比例.png,1,比例・反比例,3,2,4,5,heal,3,１５kmを１時間で５kmのペースで走るとき、走り切るのに何時間かかりますか？
比例・反比例.png,2,比例・反比例,900,600,750,1000,attack,4,10本の重さが150gの釘があります。この釘60本の重さは何gですか？
比例・反比例.png,2,比例・反比例,4,3,6,27,defence,4,面積が36cm?の長方形があります。たての長さが9cmのとき、横の長さは何cmですか？
比例・反比例.png,2,比例・反比例,10,11,14,9,attack,4,ある仕事を終わらせるのに、5人ですると12日かかります。この仕事を6人ですると、何日で終わりますか？
比例・反比例.png,2,比例・反比例,1050,900,1000,750,defence,4,3mで450円のリボンがあります。このリボンを7m買うと、代金はいくらですか？
比例・反比例.png,2,比例・反比例,2,1.5,2.5,4.5,heal,4,時速60kmで進むと3時間かかる道のりがあります。この道のりを時速90kmで進むと、何時間かかりますか？
比例・反比例.png,3,比例・反比例,15,10,20,7,attack,5,歯数が60の歯車Aが10回転するとき、かみ合っている歯数が40の歯車Bは何回転しますか？
比例・反比例.png,3,比例・反比例,4.8,5,13.3,6.5,defence,5,ある畑を耕すのに、トラクター3台を使うと8時間かかります。同じトラクター5台を使うと何時間かかりますか？
比例・反比例.png,3,比例・反比例,2,20,200,0.2,attack,5,縮尺が1:25000の地図で、2つの町の間の長さが8cmでした。実際の距離は何kmですか？
比例・反比例.png,3,比例・反比例,5,15,20,10,defence,5,1個150円のりんごを予算3000円で買うと20個買えます。もし1個200円のりんごなら、買える個数は何個減りますか？
比例・反比例.png,3,比例・反比例,8,6,18,7,heal,5,高さ2mの木の影の長さが3mのとき、同じ時刻の、影の長さが12mの電柱の高さは何mですか？
比例・反比例.png,4,比例・反比例,12,10,11,15,attack,7,"5,8人で15日かかる仕事があります。最初の5日間は8人で働き、6日目から4人増えました。仕事が終わるのは全部で何日目ですか？"
比例・反比例.png,4,比例・反比例,2880,288,3000,1250,defence,7,500gで600円の牛肉があります。この牛肉を2.4kg買うと代金はいくらになりますか？
比例・反比例.png,4,比例・反比例,12,10,75,15,attack,7,満水の状態から、ポンプ2台で水を抜くと30分かかります。同じポンプを最初から5台使うと、何分で水がなくなりますか？
比例・反比例.png,4,比例・反比例,350,300,20,400,defence,7,兄は分速80m、弟は分速60mで、家から1.4km離れた駅に同時に向かいました。兄が駅に着いた時、弟は駅の何m手前にいますか？
比例・反比例.png,4,比例・反比例,26,20,30,25,heal,7,ある食料は15人なら40日間もちます。この食料を20人で10日間食べた後、残りを15人で食べると、あと何日間もちますか？
比例・反比例.png,5,比例・反比例,15,24,40,20,attack,10,Aの蛇口から1分間に3L、Bの蛇口から1分間に5Lの水が出ます。AとBを同時に使って120Lの水槽をいっぱいにするには何分かかりますか？
比例・反比例.png,5,比例・反比例,111,100,125,80,defence,10,家から駅まで分速80mで歩くと20分かかります。最初の6分を分速100mで歩いた後、残りを9分で着くには分速約何mが必要ですか？
比例・反比例.png,5,比例・反比例,90,60,75,120,attack,10,同じ長さのろうそくAとBがあります。Aは3時間、Bは2時間で燃え尽きます。同時に火をつけた時、Aの長さがBの2倍になるのは何分後ですか？
比例・反比例.png,5,比例・反比例,21,20,23,18,defence,10,6人ですると20日かかる仕事があります。8日間働いた後、2人が3日間休み、その後全員で再開しました。合計で何日かかりましたか？
比例・反比例.png,5,比例・反比例,40,32,50,25,heal,10,5台の印刷機で書類を印刷すると32分かかります。同じ仕事を4台の印刷機で行うと、何分かかりますか？
小数(小学校).png,1,小数,0.7,0.07,7,0.3,attack,3,0.2 + 0.5 を計算しなさい。
小数(小学校).png,1,小数,3.7,3.07,2.7,1.1,heal,3,1.4 + 2.3 を計算しなさい。
小数(小学校).png,1,小数,0.3,3,0.15,1.5,attack,3,0.9 - 0.6 を計算しなさい。
小数(小学校).png,1,小数,3.3,3.03,2.3,8.3,heal,3,5.8 - 2.5 を計算しなさい。
小数(小学校).png,1,小数,0.6,1.4,6,0.06,attack,3,1Lのジュースを0.4L飲みました。残りは何Lですか？
小数(小学校).png,2,小数,4.05,3.05,4.5,2.61,heal,4,1.6 + 2.45 を計算しなさい。
小数(小学校).png,2,小数,2.8,3.8,3.2,2.2,attack,4,4 - 1.2 を計算しなさい。
小数(小学校).png,2,小数,7.2,6.2,72,6.12,heal,4,2.4 × 3 を計算しなさい。
小数(小学校).png,2,小数,2.4,24,2.3,3.4,attack,4,9.6 ÷ 4 を計算しなさい。
小数(小学校).png,2,小数,0.6,6,5.4,0.5,heal,4,1.8mのひもを3人で等分すると、1人分は何mですか？
